               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.028097,             0.04803,           0.0078403,             0.95672,             0.94606,             0.95901,             0.59732,            0.029385,            0.038755,           0.0053164,            0.004258,            0.004258,            0.004258
                  60,            0.028082,            0.048218,           0.0078618,             0.95169,             0.94185,              0.9596,              0.5899,            0.029524,            0.039043,           0.0055779,            0.004159,            0.004159,            0.004159
                  61,            0.027589,            0.048368,           0.0076021,             0.94977,             0.94334,             0.95329,             0.59151,            0.029724,            0.038837,           0.0054534,             0.00406,             0.00406,             0.00406
                  62,            0.027191,             0.04744,           0.0075401,             0.95388,             0.94761,               0.957,             0.59589,            0.029319,            0.039109,           0.0054149,            0.003961,            0.003961,            0.003961
                  63,            0.027802,            0.048463,           0.0074847,             0.95718,             0.94689,             0.96453,             0.60614,            0.028937,            0.038926,           0.0057429,            0.003862,            0.003862,            0.003862
                  64,            0.027191,            0.048965,            0.007446,             0.94558,             0.95643,             0.96193,             0.59847,            0.029187,            0.039681,           0.0052844,            0.003763,            0.003763,            0.003763
                  65,            0.026876,            0.047896,            0.007199,              0.9532,             0.95142,             0.95992,             0.60354,            0.029231,            0.039094,           0.0051574,            0.003664,            0.003664,            0.003664
                  66,            0.026929,            0.047084,           0.0070741,             0.95547,             0.94693,             0.96137,             0.59686,            0.029252,            0.039653,           0.0054545,            0.003565,            0.003565,            0.003565
                  67,            0.026628,            0.047263,           0.0071039,             0.94986,             0.95115,             0.96386,             0.59479,            0.029275,            0.039039,           0.0052402,            0.003466,            0.003466,            0.003466
                  68,            0.026919,            0.047718,           0.0070636,             0.95698,             0.95316,             0.96365,             0.59574,            0.029027,            0.038608,           0.0054218,            0.003367,            0.003367,            0.003367
                  69,            0.026208,            0.046704,              0.0069,             0.95349,             0.94631,             0.96066,             0.60166,            0.028953,            0.038774,           0.0050709,            0.003268,            0.003268,            0.003268
                  70,            0.026471,             0.04695,           0.0069077,             0.95292,             0.94906,             0.96782,             0.60126,            0.028959,            0.038738,           0.0053803,            0.003169,            0.003169,            0.003169
                  71,            0.026277,            0.046849,            0.006756,             0.95209,             0.95036,             0.96278,             0.59656,            0.029283,            0.038722,           0.0050194,             0.00307,             0.00307,             0.00307
                  72,            0.025919,            0.046003,           0.0067149,              0.9476,             0.94081,             0.95706,             0.58689,            0.029683,            0.039567,           0.0054421,            0.002971,            0.002971,            0.002971
                  73,            0.025863,            0.046295,           0.0065968,              0.9516,             0.94221,             0.95819,             0.59917,            0.028847,            0.038783,           0.0053048,            0.002872,            0.002872,            0.002872
                  74,            0.025669,            0.045952,           0.0067471,             0.95361,              0.9484,              0.9617,             0.60243,             0.02907,            0.039115,           0.0052108,            0.002773,            0.002773,            0.002773
                  75,            0.025637,            0.045878,           0.0064803,             0.95459,             0.94595,             0.96328,             0.59391,            0.029235,              0.0395,           0.0052309,            0.002674,            0.002674,            0.002674
                  76,            0.025293,            0.044885,           0.0063788,             0.95576,             0.95375,             0.96486,             0.60967,            0.028564,            0.039102,           0.0052573,            0.002575,            0.002575,            0.002575
                  77,            0.025474,            0.046327,           0.0065364,             0.95438,             0.95012,             0.96659,              0.6047,            0.028893,            0.039436,           0.0049911,            0.002476,            0.002476,            0.002476
                  78,            0.025235,            0.045617,            0.006475,             0.95097,             0.94468,             0.96138,             0.59817,            0.029208,             0.03949,             0.00521,            0.002377,            0.002377,            0.002377
                  79,            0.024951,            0.044918,           0.0063375,             0.95219,             0.94382,             0.96024,             0.60103,            0.028864,            0.039538,           0.0051414,            0.002278,            0.002278,            0.002278
                  80,            0.025204,            0.046038,            0.006333,             0.95355,             0.94792,             0.96106,             0.60115,            0.028891,            0.039258,           0.0050908,            0.002179,            0.002179,            0.002179
                  81,            0.024665,            0.045332,           0.0061316,             0.95305,             0.94507,             0.96386,             0.60192,            0.028774,             0.03967,           0.0052429,             0.00208,             0.00208,             0.00208
                  82,            0.024768,            0.044859,           0.0061338,             0.95789,             0.94787,             0.96862,             0.60822,            0.028665,            0.039688,           0.0051702,            0.001981,            0.001981,            0.001981
                  83,             0.02481,             0.04612,           0.0060691,             0.95634,             0.94599,             0.96437,             0.60225,            0.028777,            0.039955,           0.0052834,            0.001882,            0.001882,            0.001882
                  84,            0.024385,            0.044929,           0.0059307,             0.95344,             0.94504,             0.96144,              0.5997,            0.028834,            0.040075,           0.0050371,            0.001783,            0.001783,            0.001783
                  85,            0.024366,            0.044783,           0.0059278,             0.95378,             0.94946,             0.96824,             0.60145,            0.028895,             0.03985,           0.0051677,            0.001684,            0.001684,            0.001684
                  86,            0.024295,            0.044362,           0.0060404,             0.95074,             0.95269,              0.9617,             0.59881,            0.028853,            0.040115,            0.004881,            0.001585,            0.001585,            0.001585
                  87,            0.024108,            0.044334,           0.0058998,             0.95164,             0.94935,             0.96565,             0.60462,            0.028602,            0.039706,           0.0052839,            0.001486,            0.001486,            0.001486
                  88,            0.024062,            0.044411,           0.0057981,             0.95572,             0.94756,              0.9633,             0.60124,            0.028826,            0.039934,           0.0053836,            0.001387,            0.001387,            0.001387
                  89,            0.023982,            0.044439,           0.0057199,             0.95387,             0.94529,             0.96104,             0.60501,            0.028542,            0.039751,           0.0052283,            0.001288,            0.001288,            0.001288
                  90,            0.023962,            0.043454,           0.0057568,             0.95092,              0.9488,             0.96113,             0.60118,            0.028807,            0.040403,           0.0051733,            0.001189,            0.001189,            0.001189
                  91,            0.023828,            0.044256,           0.0057421,             0.95296,             0.95311,               0.967,             0.60416,            0.028731,            0.040109,           0.0047707,             0.00109,             0.00109,             0.00109
                  92,             0.02382,            0.044203,           0.0057289,             0.95356,             0.94825,             0.96212,             0.60231,            0.028812,            0.040217,           0.0048323,            0.000991,            0.000991,            0.000991
                  93,            0.023647,            0.043735,           0.0056654,             0.94373,             0.95132,             0.96117,             0.60496,            0.028858,            0.040276,           0.0051028,            0.000892,            0.000892,            0.000892
                  94,            0.023585,            0.044128,           0.0055886,             0.95092,             0.94832,             0.96126,             0.60491,            0.028652,             0.04009,           0.0050865,            0.000793,            0.000793,            0.000793
                  95,            0.023538,            0.043585,             0.00551,             0.95201,             0.94398,             0.95814,             0.60393,            0.028631,            0.040389,           0.0051692,            0.000694,            0.000694,            0.000694
                  96,            0.023433,            0.043559,           0.0055647,             0.95613,             0.94531,             0.96407,               0.608,            0.028592,            0.040558,           0.0049924,            0.000595,            0.000595,            0.000595
                  97,            0.023425,            0.043804,           0.0054636,             0.94994,             0.94364,             0.95898,             0.60569,            0.028719,            0.040585,           0.0051631,            0.000496,            0.000496,            0.000496
                  98,            0.023311,            0.042942,           0.0053574,             0.95183,             0.94727,             0.96153,             0.60563,            0.028562,            0.040447,           0.0051447,            0.000397,            0.000397,            0.000397
                  99,            0.023316,            0.043647,           0.0054613,             0.95351,             0.94654,             0.96253,             0.60685,            0.028585,            0.040491,           0.0051435,            0.000298,            0.000298,            0.000298
